link,name,rating,reviews,categories,tripadvisor_entity_id,province,new_province
https://www.tripadvisor.com.vn/Attraction_Review-g311303-d10117306-Reviews-Mandarin_Cruises-Chau_Doc_An_Giang_Province.html,Tàu cao tốc Cam Việt,4.1,20,"[{""id"":11163,""name"":""Chuyến tham quan bằng thuyền""},{""id"":11080,""name"":""Phà""}]",10117306,An Giang,An Giang
https://www.tripadvisor.com.vn/Attraction_Review-g2145099-d28187761-Reviews-Khu_Du_l_ch_C_n_En_An_Giang_Lugar_Group_The_Lugar_Group-An_Giang_Province.html,Khu Du lịch Cồn Én An Giang - Lugar Group  (The Lugar Group),5,1,"[{""id"":11206,""name"":""Chuyến tham quan sinh thái""},{""id"":11151,""name"":""Chuyến tham quan ngắm cảnh""}]",28187761,An Giang,An Giang
https://www.tripadvisor.com.vn/Attraction_Review-g6776104-d24061065-Reviews-Hoang_Hoa_Tham_Park-Bac_Giang_Bac_Giang_Province.html,Hoang Hoa Tham Park,5,1,"[{""id"":11092,""name"":""Công viên""}]",24061065,Bắc Giang,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g15292953-d14054065-Reviews-Dong_Cao-Th_ch_Son_Bac_Giang_Province.html,Đồng Cao,5,1,"[{""id"":11083,""name"":""Hình thái địa chất""}]",14054065,Bắc Giang,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g6582231-d2503109-Reviews-Ba_Be_National_Park-Nam_Mau_Bac_Kan_Province.html,Công Viên Quốc Gia Ba Bể,4.4,166,"[{""id"":11090,""name"":""Công viên quốc gia""}]",2503109,Bắc Kạn,Thái Nguyên
https://www.tripadvisor.com.vn/Attraction_Review-g6936569-d13969559-Reviews-Tac_Say_Church_Truong_Buu_Diep-Bac_Lieu_Bac_Lieu_Province_Mekong_Delta.html,Nhà thờ Tắc Sậy - Cha Trương Bửu Diệp,4.2,10,"[{""id"":11168,""name"":""Nhà thờ & nhà thờ lớn""}]",13969559,Bạc Liêu,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g6936569-d8071683-Reviews-Cong_Tu_Bac_Lieu_House_Prince_of_Bac_Lieu_House-Bac_Lieu_Bac_Lieu_Province_Mekon.html,Nhà Công Tử Bạc Liêu,3.7,30,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",8071683,Bạc Liêu,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g6936569-d8071662-Reviews-Quan_Am_Phat_Dai_Temple-Bac_Lieu_Bac_Lieu_Province_Mekong_Delta.html,Quan Âm Phật Đài,4.1,10,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",8071662,Bạc Liêu,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g6936569-d14199599-Reviews-Nha_May_Dien_Gio_Bac_Lieu-Bac_Lieu_Bac_Lieu_Province_Mekong_Delta.html,Nhà Máy Điện Gió Bạc Liêu,4.4,7,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",14199599,Bạc Liêu,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g6936569-d17395909-Reviews-Wind_Farm_Bac_Lie-Bac_Lieu_Bac_Lieu_Province_Mekong_Delta.html,Điện Gió Bạc Liêu,4,2,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",17395909,Bạc Liêu,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d7339865-Reviews-Phu_Lang_Pottery_Village-Bac_Ninh_Bac_Ninh_Province.html,Làng gốm Phù Lãng,4.8,8,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",7339865,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d14074259-Reviews-Phat_Tich_Temple-Bac_Ninh_Bac_Ninh_Province.html,Chùa Phật Tích,4.8,4,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",14074259,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d8627375-Reviews-Dau_Pagoda-Bac_Ninh_Bac_Ninh_Province.html,Chùa Dâu,4.6,9,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",8627375,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d16695629-Reviews-Ba_Chua_Kho_Temple-Bac_Ninh_Bac_Ninh_Province.html,Đền Bà Chúa Kho,4,6,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",16695629,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d12368489-Reviews-Gieng_Temple-Bac_Ninh_Bac_Ninh_Province.html,Đền Giếng (Đền Cùng - Giếng Ngọc),4.5,2,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",12368489,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d28251440-Reviews-M_c_Huong_Thao_Duong_Sinh_Dog_Y_So_1_Bac_Ninh-Bac_Ninh_Bac_Ninh_Province.html,Mộc Hương Thảo Dưỡng Sinh Đông Y Số 1 Bắc Ninh,5,1,"[{""id"":11139,""name"":""Spa""}]",28251440,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2082662-d19805903-Reviews-Stillwater_Spa-Bac_Ninh_Bac_Ninh_Province.html,Stillwater Spa,5,2,"[{""id"":11781,""name"":""Chuyến đi trong ngày""}]",19805903,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g2145106-d1581727-Reviews-Tho_Ha_Village-Bac_Ninh_Province.html,Tho Ha Village,4.5,22,"[{""id"":11051,""name"":""Địa điểm lịch sử""}]",1581727,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g4225737-d4225742-Reviews-Do_Temple-Dinh_Bang_Bac_Ninh_Province.html,Do Temple,4.8,12,"[{""id"":11051,""name"":""Địa điểm lịch sử""},{""id"":11045,""name"":""Địa điểm tôn giáo""}]",4225742,Bắc Ninh,Bắc Ninh
https://www.tripadvisor.com.vn/Attraction_Review-g737085-d13312988-Reviews-Ben_Tre_Museum-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html,Ben Tre Museum,3.5,4,"[{""id"":11063,""name"":""Viện bảo tàng lịch sử""}]",13312988,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g737085-d16671028-Reviews-Vien_Minh_Pagoda-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html,Vien Minh Pagoda,3.7,3,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",16671028,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g737085-d13312993-Reviews-Sense_City-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html,Sense City,4,1,"[{""id"":11155,""name"":""Trung tâm mua sắm""}]",13312993,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g737085-d25400110-Reviews-Bum_Karaoke_Restaurant-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html,Bum - Karaoke & Restaurant,5,2,"[{""id"":11117,""name"":""Quầy bar karaoke""}]",25400110,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g737085-d18378703-Reviews-Homestay_Con_Ba_Tu-Ben_Tre_Ben_Tre_Province_Mekong_Delta.html,Homestay Cồn Bà Tư,3,2,"[{""id"":11207,""name"":""Thuê thuyền câu cá & tham quan""}]",18378703,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g8113356-d8098853-Reviews-Cai_Mon_Orchard_Village-Cho_Lach_Ben_Tre_Province_Mekong_Delta.html,Làng Cây Kiểng Cái Mơn,4.2,5,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""},{""id"":11134,""name"":""Nông trại""}]",8098853,Bến Tre,Vĩnh Long
https://www.tripadvisor.com.vn/Attraction_Review-g11981259-d12703664-Reviews-Fito_Museum_Museums_of_Traditional_Vietnamese_Medicine_Pharmacy-Thuan_An_Binh_.html,Bảo tàng Dược học cổ truyền Việt Nam,4.9,17,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",12703664,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g3311194-d5095627-Reviews-Hoi_Khanh_Pagoda-Thu_Dau_Mot_Binh_Duong_Province.html,Hoi Khanh Pagoda,4.5,24,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",5095627,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g6748948-d27914758-Reviews-Sun_Vape_Store-Di_An_Binh_Duong_Province.html,Sun Vape Store,5,1,"[{""id"":11155,""name"":""Trung tâm mua sắm""}]",27914758,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g6748948-d4108041-Reviews-Song_Be_Golf_Resort-Di_An_Binh_Duong_Province.html,Sân Golf Sông Bé,4,46,"[{""id"":11084,""name"":""Sân gôn""}]",4108041,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g6748948-d15097451-Reviews-Khu_du_lich_Sinh_thai_Thuy_Chau-Di_An_Binh_Duong_Province.html,Khu du lịch Sinh thái Thủy Châu,3,3,"[{""id"":11092,""name"":""Công viên""}]",15097451,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g3311194-d33502556-Reviews-Tu_ng_Ph_t_Thich_Ca_Nh_p_Ni_t_Ban-Thu_Dau_Mot_Binh_Duong_Province.html,Tượng Phật Thích Ca Nhập Niết Bàn,5,1,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",33502556,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g3311194-d33502553-Reviews-Nha_Th_Chanh_Toa_Phu_Cu_ng-Thu_Dau_Mot_Binh_Duong_Province.html,Nhà Thờ Chánh Tòa Phú Cường,5,1,"[{""id"":11168,""name"":""Nhà thờ & nhà thờ lớn""}]",33502553,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g3311194-d28603087-Reviews-SORA_Garden_SC_Aeon_Mall-Thu_Dau_Mot_Binh_Duong_Province.html,SORA Garden SC Aeon Mall,2.7,3,"[{""id"":11155,""name"":""Trung tâm mua sắm""}]",28603087,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g3311194-d10794928-Reviews-Natural_Health_Beauty_Clinic-Thu_Dau_Mot_Binh_Duong_Province.html,Natural Health & Beauty Clinic,5,2,"[{""id"":11139,""name"":""Spa""}]",10794928,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g11981259-d14766967-Reviews-Thanh_Spa-Thuan_An_Binh_Duong_Province.html,Thanh Spa,5,2,"[{""id"":11139,""name"":""Spa""}]",14766967,Bình Dương,TP Hồ Chí Minh
https://www.tripadvisor.com.vn/Attraction_Review-g12934499-d22827952-Reviews-H_p_Tac_Xa_Cay_An_Trai_Nong_Thanh_Phat-Phu_Rieng_Binh_Phuoc_Province.html,Hợp Tác Xã Cây Ăn Trái Nông Thành Phát,5,1,"[{""id"":11225,""name"":""Chuyến tham quan tư nhân""}]",22827952,Bình Phước,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g1568668-d6739413-Reviews-Mui_Ca_Mau-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html,Mui Ca Mau,3.9,38,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",6739413,Cà Mau,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g1568668-d8540457-Reviews-Ca_Mau_Culture_Tourism_Park-Ca_Mau_Ca_Mau_Province_Mekong_Delta.html,Công viên Văn hóa - Du lịch Mũi Cà Mau,3.8,5,"[{""id"":11098,""name"":""Công viên bảo tồn quốc gia""},{""id"":11076,""name"":""Bãi biển""}]",8540457,Cà Mau,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g1568668-d14027945-Reviews-Ca_Mau_Province_Tourism_Information_And_Promotion_Center-Ca_Mau_Ca_Mau_Province.html,Trung Tâm Thông Tin Xúc Tiến Du Lịch Tỉnh Cà Mau,3.5,2,"[{""id"":11073,""name"":""Trung tâm du lịch""}]",14027945,Cà Mau,Cà Mau
https://www.tripadvisor.com.vn/Attraction_Review-g1519989-d5043013-Reviews-Nguom_Ngao_Cave-Cao_Bang_Cao_Bang_Province.html,Nguom Ngao Cave,4.6,123,"[{""id"":11078,""name"":""Hang lớn & động""}]",5043013,Cao Bằng,Cao Bằng
https://www.tripadvisor.com.vn/Attraction_Review-g1519989-d28006312-Reviews-Mountain_God_s_Eye-Cao_Bang_Cao_Bang_Province.html,Núi Mắt Thần,4.3,14,"[{""id"":11089,""name"":""Núi""}]",28006312,Cao Bằng,Cao Bằng
https://www.tripadvisor.com.vn/Attraction_Review-g1519989-d14080639-Reviews-Ho_Thang_Hen-Cao_Bang_Cao_Bang_Province.html,Hồ Thang Hen,4.1,11,"[{""id"":11159,""name"":""Vùng nước""}]",14080639,Cao Bằng,Cao Bằng
https://www.tripadvisor.com.vn/Attraction_Review-g1519989-d24142413-Reviews-Kim_Dong_Walking_Street-Cao_Bang_Cao_Bang_Province.html,Kim Dong Walking Street,4.5,4,"[{""id"":11095,""name"":""Khu vực đi dạo ngắm cảnh""}]",24142413,Cao Bằng,Cao Bằng
https://www.tripadvisor.com.vn/Attraction_Review-g15296861-d15292310-Reviews-Ta_Dung_National_Park-Dak_Som_Dak_Nong_Province.html,Vườn Quốc Gia Tà Đùng,5,8,"[{""id"":11090,""name"":""Công viên quốc gia""}]",15292310,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g15334599-d2663594-Reviews-Yokdon_National_Park-Cu_Jut_District_Dak_Nong_Province.html,Vườn Quốc Gia Yokdon,3.6,40,"[{""id"":11090,""name"":""Công viên quốc gia""}]",2663594,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g15836695-d15785532-Reviews-Freedom_Green_Village-Quang_Khe_Dak_Nong_Province.html,Freedom Green Village,5,7,"[{""id"":11134,""name"":""Nông trại""}]",15785532,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g2060368-d8256573-Reviews-Luu_Ly_Waterfall-Gia_Nghia_Dak_Nong_Province.html,Thác Lưu Ly,4.5,2,"[{""id"":11108,""name"":""Thác nước""}]",8256573,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g2060368-d19125797-Reviews-Nha_Trung_Bay_Nhac_Cu_Co_Xua-Gia_Nghia_Dak_Nong_Province.html,Nhà Trưng Bày Nhạc Cụ Cổ Xưa,4,1,"[{""id"":11061,""name"":""Viện bảo tàng nghệ thuật""}]",19125797,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g26831856-d33502478-Reviews-Thung_Lung_M_t_Tr_i_M_c-Nam_N_Jang_Dak_Nong_Province.html,Thung Lũng Mặt Trời Mọc,3,1,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",33502478,Đắk Nông,Lâm Đồng
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Đồi A1,4.3,66,"[{""id"":11051,""name"":""Địa điểm lịch sử""},{""id"":11052,""name"":""Khu vực đi dạo tham quan di tích lịch sử""}]",8855040,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Bảo Tàng Chiên Thắng Điện Biên Phủ,4.2,53,"[{""id"":11064,""name"":""Viện bảo tàng quân đội""},{""id"":11063,""name"":""Viện bảo tàng lịch sử""}]",11918847,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d8861348-Reviews-Dien_Bien_Phu_Military_Cemetery-Dien_Bien_Phu_Dien_Bien_Province.html,Nghĩa trang Liệt sỹ Điện Biên Phủ,4.2,28,"[{""id"":11042,""name"":""Nghĩa trang""}]",8861348,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d11635855-Reviews-Hot_Spring_Uva-Dien_Bien_Phu_Dien_Bien_Province.html,Khu Du Lịch Khoáng Nóng Uva,4.3,8,"[{""id"":11085,""name"":""Suối nước nóng & mạch nước phun""}]",11635855,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d12883863-Reviews-Border_Post_0-Dien_Bien_Phu_Dien_Bien_Province.html,Cột Mốc Số 0,4.8,4,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",12883863,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d8861351-Reviews-Bunker_of_Colonel_de_Castries-Dien_Bien_Phu_Dien_Bien_Province.html,Bunker of Colonel de Castries,3.7,57,"[{""id"":11051,""name"":""Địa điểm lịch sử""},{""id"":11052,""name"":""Khu vực đi dạo tham quan di tích lịch sử""}]",8861351,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d17667276-Reviews-Du_Lich_Cong_Dong_Muong_Phang-Dien_Bien_Phu_Dien_Bien_Province.html,Du Lịch Cộng Đồng Mường Phăng,4,1,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",17667276,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d27065693-Reviews-Victory_Monument-Dien_Bien_Phu_Dien_Bien_Province.html,Victory Monument,4,1,"[{""id"":11059,""name"":""Đài kỷ niệm & tượng""}]",27065693,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Chợ Cầu Mường Thanh,2.5,2,"[{""id"":11154,""name"":""Chợ trời & chợ đường phố""}]",19507246,Điện Biên,Điện Biên
https://www.tripadvisor.com.vn/Attraction_Review-g1749176-d23382593-Reviews-The_Amazing_Bay-Bien_Hoa_Dong_Nai_Province.html,The Amazing Bay,4.7,30,"[{""id"":11130,""name"":""Công viên nước""}]",23382593,Đồng Nai,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,Cat Tien Park,4.2,141,"[{""id"":11090,""name"":""Công viên quốc gia""}]",12162656,Đồng Nai,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g1749176-d7305746-Reviews-Buu_Long_Mountain-Bien_Hoa_Dong_Nai_Province.html,Núi Bửu Long,4,18,"[{""id"":11089,""name"":""Núi""}]",7305746,Đồng Nai,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g2146205-d8289994-Reviews-Dong_Nai_Culture_And_Nature_Reserve-Dong_Nai_Province.html,Khu Bảo Tồn Thiên Nhiên - Văn Hóa Đồng Nai,4.7,7,"[{""id"":11091,""name"":""Khu vực tự nhiên & động vật hoang dã""}]",8289994,Đồng Nai,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g8068797-d8067787-Reviews-Giang_Dien_Waterfall_Tourist_Site-Trang_Bom_Dong_Nai_Province.html,Khu Du Lịch Sinh Thái Thác Giang Điền,3.5,19,"[{""id"":11130,""name"":""Công viên nước""}]",8067787,Đồng Nai,Đồng Nai
https://www.tripadvisor.com.vn/Attraction_Review-g1749176-d8012514-Reviews-Mango_Garden_Resort-Bien_Hoa_Dong_Nai_Province.html,Khu Du Lịch Sinh Thái Vườn Xoài,3.3,22,"[{""id"":11146,""name"":""Sở thú""}]",8012514,Đồng Nai,Đồng Nai
